| ITEM NAME | QUANTITY | UNIT PRICE | ITEM LINK |
|---|---|---|---|
| Arduino Uno Rev 3 | 1 | $27.60 | https://store-usa.arduino.cc/products/arduino-uno-rev3 | 
| Arduino USB 2.0 CABLE TYPE A/B 1M | 1 | $6.50 | https://store-usa.arduino.cc/products/usb-2-0-cable-type-ab?pr_prod_strat=jac&pr_rec_id=ebab5fe95&pr_rec_pid=7205816729807&pr_ref_pid=6777336496335&pr_seq=uniform |
| 16 x 2 LCD Display | 1 | $4.95 | https://www.pishop.us/product/1602-lcd-display-module-dc-5v-16x2-blue-blacklight/?srsltid=AfmBOopAUBNLjJJXYEebXPVIeEJSsd5Jd41fewYIZyoXZtaXuFnxWd1wKe8 |
| ELEGOO 5PCS HC-SR04 Ultrasonic Module Distance Sensor Kit | 1 | $9.59 | https://www.amazon.com/HC-SR04-Ultrasonic-Distance-Arduino-MEGA2560/dp/B01COSN7O6/ |
| Breadboard (Regular) | 1 | $6.25 | https://www.sparkfun.com/breadboard-self-adhesive-white.html |
| Piezo Speaker Module for Arduino Buzzer (D46) | 1 | $4.21 | https://vetco.net/products/vupn6344_piezo_speaker_module_for_arduino_buzzer_d46?variant=42879384027273&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOorkHXB9IrAUx4tf1EtMTRpap2G1eqHkEW5G0AjnlXf4GZBLcyiqQaI |
| Potentiometer Cermet 10K Ohms Single Turn 0.15" Spacing 10 Pack | 1 | $2.50 | http://elexp.com/products/potentiometer-cermet-10k-single-turn-0-15-spacing-10pk?variant=46438546309348&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOop0naLmLtPGromAJaqpESkUSiqVaYY-EH4L-hXXPew3r1lc-GjcgW4 |
| Carbon Film Resistors 5% 2 Watt 220 Ohms | 1 | $0.16 | https://www.elexp.com/products/13025220res-2-watt-5-220-ohm?variant=42623315083492&currency=USD&utm_source=google&utm_medium=organic&utm_campaign=Google%20Shopping&utm_content=Carbon%20Film%20Resistors%205%25%202%20Watt%20220%20Ohms&srsltid=AfmBOopSN6cXBl9FcYfbK1GvAcHJqT5U6aXCGop9sS1Aq4nK3IVDssFYqqU|
| 75 Pack Flexible Solderless Breadboard Jumper Wires Male to Male 4 Different Lengths | 1 | $5.50 | https://www.elexp.com/products/32jwkznjumper-wire-kit-ml-ml-75pcs?variant=42879808471268&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOor43o0ATJnN82Q-qV60REXWFnluCtrRQMc69bHcl28eb-ELacnw4lw |
| Male to Female Jumper Wire (Multicolor 10cm Length) - 40 Pack | 1 | $2.99 | https://www.gobilda.com/male-to-female-jumper-wire-multicolor-10cm-length-40-pack/?setCurrencyId=1&sku=3802-1920-0010&srsltid=AfmBOoqF-ZkKXX00zKnwFRxncyDs3DLf-yPfOLtkULc-uL7n5qnllL6McGc |
